country_code,country,independent
AFG,Afghanistan,Yes
ALA,Åland Islands,No
ALB,Albania,Yes
DZA,Algeria,Yes
ASM,American Samoa,No
AND,Andorra,Yes
AGO,Angola,Yes
AIA,Anguilla,No
ATA,Antarctica,No
ATG,Antigua and Barbuda,Yes
ARG,Argentina,Yes
ARM,Armenia,Yes
ABW,Aruba,No
AUS,Australia,Yes
AUT,Austria,Yes
AZE,Azerbaijan,Yes
BHS,Bahamas,Yes
BHR,Bahrain,Yes
BGD,Bangladesh,Yes
BRB,Barbados,Yes
BLR,Belarus,Yes
BEL,Belgium,Yes
BLZ,Belize,Yes
BEN,Benin,Yes
BMU,Bermuda,No
BTN,Bhutan,Yes
BOL,Bolivia,Yes
BES,Bonaire,No
BIH,Bosnia and Herzegovina,Yes
BWA,Botswana,Yes
BVT,Bouvet Island,No
BRA,Brazil,Yes
IOT,British Indian Ocean Territory,No
BRN,Brunei Darussalam,Yes
BGR,Bulgaria,Yes
BFA,Burkina Faso,Yes
BDI,Burundi,Yes
CPV,Cabo Verde,Yes
KHM,Cambodia,Yes
CMR,Cameroon,Yes
CAN,Canada,Yes
CYM,Cayman Islands,No
CAF,Central African Republic,Yes
TCD,Chad,Yes
CHL,Chile,Yes
CHN,China,Yes
CXR,Christmas Island,No
CCK,Cocos,No
COL,Colombia,Yes
COM,Comoros,Yes
COG,Congo,Yes
COD,Congo,Yes
COK,Cook Islands,No
CRI,Costa Rica,Yes
CIV,Côte d'Ivoire,Yes
HRV,Croatia,Yes
CUB,Cuba,Yes
CUW,Curaçao,No
CYP,Cyprus,Yes
CZE,Czechia,Yes
DNK,Denmark,Yes
DJI,Djibouti,Yes
DMA,Dominica,Yes
DOM,Dominican Republic,Yes
ECU,Ecuador,Yes
EGY,Egypt,Yes
SLV,El Salvador,Yes
GNQ,Equatorial Guinea,Yes
ERI,Eritrea,Yes
EST,Estonia,Yes
SWZ,Eswatini,Yes
ETH,Ethiopia,Yes
FLK,Falkland Islands,No
FRO,Faroe Islands,No
FJI,Fiji,Yes
FIN,Finland,Yes
FRA,France,Yes
GUF,French Guiana,No
PYF,French Polynesia,No
ATF,French Southern Territories,No
GAB,Gabon,Yes
GMB,Gambia,Yes
GEO,Georgia,Yes
DEU,Germany,Yes
GHA,Ghana,Yes
GIB,Gibraltar,No
GRC,Greece,Yes
GRL,Greenland,No
GRD,Grenada,Yes
GLP,Guadeloupe,No
GUM,Guam,No
GTM,Guatemala,Yes
GGY,Guernsey,No
GIN,Guinea,Yes
GNB,Guinea-Bissau,Yes
GUY,Guyana,Yes
HTI,Haiti,Yes
HMD,Heard Island and McDonald Islands,No
VAT,Holy See,Yes
HND,Honduras,Yes
HKG,Hong Kong,No
HUN,Hungary,Yes
ISL,Iceland,Yes
IND,India,Yes
IDN,Indonesia,Yes
IRN,Iran,Yes
IRQ,Iraq,Yes
IRL,Ireland,Yes
IMN,Isle of Man,No
ISR,Israel,Yes
ITA,Italy,Yes
JAM,Jamaica,Yes
JPN,Japan,Yes
JEY,Jersey,No
JOR,Jordan,Yes
KAZ,Kazakhstan,Yes
KEN,Kenya,Yes
KIR,Kiribati,Yes
PRK,Korea,Yes
KOR,Korea,Yes
KWT,Kuwait,Yes
KGZ,Kyrgyzstan,Yes
LAO,Lao People's Democratic Republic,Yes
LVA,Latvia,Yes
LBN,Lebanon,Yes
LSO,Lesotho,Yes
LBR,Liberia,Yes
LBY,Libya,Yes
LIE,Liechtenstein,Yes
LTU,Lithuania,Yes
LUX,Luxembourg,Yes
MAC,Macao,No
MDG,Madagascar,Yes
MWI,Malawi,Yes
MYS,Malaysia,Yes
MDV,Maldives,Yes
MLI,Mali,Yes
MLT,Malta,Yes
MHL,Marshall Islands,Yes
MTQ,Martinique,No
MRT,Mauritania,Yes
