city_id,city,state,country,city_country,cost_of_living,rent,cost_of_living_plus_rent,groceries,restaurant_price,local_purchasing_power,quality_of_life,property_price_to_income_ratio,traffic_commute_time,climate,safety,health_care,pollution,link,country_code
1,Hamilton,,Bermuda,"Hamilton, Bermuda",161.36,102.29,133.41,167.32,147.19,88.42,,,,,,,,https://www.numbeo.com/cost-of-living/in/Hamilton-Bermuda?displayCurrency=USD,BMU
2,Zurich,,Switzerland,"Zurich, Switzerland",121.25,61.89,93.17,122.95,115.77,115.64,194.58,9.95,32.62,81.48,82.68,74.84,17.58,https://www.numbeo.com/cost-of-living/in/Zurich?displayCurrency=USD,CHE
3,Basel,,Switzerland,"Basel, Switzerland",119.82,45.46,84.64,125.54,114.14,109.13,,,,,79.89,,,https://www.numbeo.com/cost-of-living/in/Basel?displayCurrency=USD,CHE
4,Zug,,Switzerland,"Zug, Switzerland",118.68,64.27,92.94,120.79,118.36,136.38,,,,,,,,https://www.numbeo.com/cost-of-living/in/Zug?displayCurrency=USD,CHE
5,Bern,,Switzerland,"Bern, Switzerland",113.85,36.83,77.41,115.93,106.74,116.09,,,,,82.02,,,https://www.numbeo.com/cost-of-living/in/Bern?displayCurrency=USD,CHE
6,Lausanne,,Switzerland,"Lausanne, Switzerland",111.67,53.34,84.07,113.18,106.24,111.56,,,,,74.47,74.41,,https://www.numbeo.com/cost-of-living/in/Lausanne?displayCurrency=USD,CHE
7,Geneva,,Switzerland,"Geneva, Switzerland",105.0,71.06,88.94,103.09,112.03,110.69,189.27,10.11,25.53,82.61,73.47,74.59,23.62,https://www.numbeo.com/cost-of-living/in/Geneva?displayCurrency=USD,CHE
8,Honolulu,US-HI,United States,"Honolulu, HI, United States",101.81,63.28,83.58,112.58,86.98,93.82,162.93,6.78,41.19,95.33,53.95,72.53,37.22,https://www.numbeo.com/cost-of-living/in/Honolulu?displayCurrency=USD,USA
9,Beirut,,Lebanon,"Beirut, Lebanon",100.94,24.66,64.85,118.67,71.87,14.26,74.64,22.67,39.82,94.74,53.09,65.15,93.86,https://www.numbeo.com/cost-of-living/in/Beirut?displayCurrency=USD,LBN
10,Santa Barbara,US-CA,United States,"Santa Barbara, CA, United States",100.05,90.86,95.7,107.15,95.94,69.6,,,,,,,,https://www.numbeo.com/cost-of-living/in/Santa-Barbara?displayCurrency=USD,USA
11,New York,US-NY,United States,"New York, NY, United States",100.0,100.0,100.0,100.0,100.0,100.0,137.83,9.14,43.11,79.66,51.92,61.85,58.1,https://www.numbeo.com/cost-of-living/in/New-York?displayCurrency=USD,USA
12,Reykjavik,,Iceland,"Reykjavik, Iceland",95.98,44.03,71.4,93.09,97.31,81.93,184.28,7.78,19.83,68.81,77.8,67.43,15.02,https://www.numbeo.com/cost-of-living/in/Reykjavik?displayCurrency=USD,ISL
13,San Francisco,US-CA,United States,"San Francisco, CA, United States",95.96,93.23,94.67,100.08,88.79,134.03,155.05,6.35,51.55,97.26,39.77,64.16,52.22,https://www.numbeo.com/cost-of-living/in/San-Francisco?displayCurrency=USD,USA
14,Oslo,,Norway,"Oslo, Norway",93.57,40.52,68.47,87.96,96.03,78.79,163.14,12.19,31.21,59.99,65.96,77.88,23.63,https://www.numbeo.com/cost-of-living/in/Oslo?displayCurrency=USD,NOR
